"","wtime_length5","emp_fptime","edu","job1","emp_place","emp_type","satisfaction","sleep1","sleep2","sleep3","weng1","weng2","weng3","wsituation1","wsituation2","wsituation11"
"1",2,NA,1,1,NA,1,2,4,4,4,4,5,4,7,7,7
"2",2,1,6,1,2,3,2,5,5,5,2,2,2,7,7,1
"3",2,2,4,1,2,3,2,2,2,2,3,3,3,7,7,3
"4",2,NA,4,1,NA,2,2,5,5,5,2,2,2,2,7,7
"5",2,NA,4,1,NA,1,2,4,5,5,2,2,2,7,7,7
"6",2,1,2,1,2,3,2,5,5,5,3,2,2,2,2,3
"7",2,1,4,1,2,3,4,4,4,4,3,3,3,3,3,3
"8",2,NA,4,1,NA,1,1,3,4,4,3,3,3,7,7,3
"9",2,1,7,1,2,3,1,5,5,5,2,2,2,2,2,1
"10",2,1,4,1,2,3,2,5,4,5,2,2,2,1,1,2
"11",2,NA,4,1,NA,1,1,5,5,5,2,3,3,7,7,7
"12",1,NA,6,1,NA,2,2,5,4,4,2,2,2,2,7,7
"13",2,NA,2,1,NA,4,3,2,4,4,3,3,2,7,7,3
"14",2,NA,1,1,NA,1,3,4,2,2,2,3,1,7,7,7
"15",2,NA,2,1,NA,1,2,4,4,4,3,2,2,7,7,7
"16",2,NA,2,1,NA,1,2,4,3,3,3,3,2,7,7,7
"17",2,NA,2,1,NA,4,2,3,4,3,3,2,3,7,7,5
"18",2,1,4,1,2,3,2,5,5,5,2,2,2,1,1,2
"19",2,2,7,1,2,3,1,4,4,4,2,2,2,2,2,2
"20",2,1,5,1,2,3,2,4,4,4,3,2,3,2,2,2
"21",2,2,1,1,2,3,3,4,4,4,4,4,3,3,3,4
"22",2,1,6,1,2,3,2,4,4,4,2,2,2,2,2,2
"23",2,2,4,1,2,3,1,5,5,5,2,2,1,2,2,2
"24",2,2,5,1,2,3,1,5,5,5,3,2,2,2,2,2
"25",2,2,1,1,2,3,1,4,4,4,3,3,3,3,3,2
"26",2,NA,6,1,NA,1,2,5,5,5,2,2,2,7,7,1
"27",2,2,1,1,2,3,2,3,3,3,3,3,3,3,4,2
"28",2,1,4,1,2,3,3,5,5,5,2,3,3,2,2,3
"29",2,1,6,1,2,3,2,5,4,4,2,2,2,1,1,1
"30",2,1,2,1,2,3,2,5,4,3,3,4,2,2,3,2
"31",2,NA,4,1,NA,1,1,5,5,4,2,2,2,7,7,7
"32",2,1,6,1,2,3,2,5,5,5,2,2,3,2,2,2
"33",2,NA,2,1,NA,1,2,2,2,1,5,5,5,7,7,7
"34",2,1,4,1,2,3,2,4,4,4,3,3,2,2,7,2
"35",2,NA,4,1,NA,1,2,5,5,5,1,1,3,7,7,7
"36",2,1,6,1,2,3,2,4,4,4,2,1,3,2,2,3
"37",2,NA,1,1,NA,1,2,3,3,2,5,4,4,7,7,7
"38",1,1,4,1,2,3,2,4,4,4,3,3,3,3,3,3
"39",2,1,2,1,2,3,2,2,2,2,3,3,2,2,2,2
"40",2,2,4,1,2,3,2,4,5,5,3,2,3,3,3,2
"41",2,NA,1,1,NA,1,1,4,3,3,4,3,2,7,7,7
"42",2,NA,5,1,NA,1,2,2,2,2,1,1,1,7,7,7
"43",2,NA,4,1,NA,1,1,4,5,4,2,2,2,7,7,7
"44",2,1,6,1,2,3,2,4,4,4,3,3,3,3,3,3
"45",1,1,4,1,2,3,2,4,4,4,2,3,3,3,3,3
"46",2,2,2,1,2,3,3,2,3,2,4,4,3,5,5,5
"47",2,2,3,1,1,3,3,4,4,4,3,3,2,4,4,4
"48",2,2,3,1,2,3,2,3,4,4,3,3,3,3,3,3
"49",2,1,5,1,2,3,2,4,4,4,2,2,2,7,7,2
"50",2,NA,4,1,NA,4,2,3,3,3,2,3,3,7,3,2
"51",2,1,6,1,2,3,2,5,5,5,2,2,2,3,3,2
"52",2,NA,3,1,NA,1,2,5,5,5,2,2,3,7,7,7
"53",2,NA,3,1,NA,1,2,4,5,5,2,2,2,7,7,7
"54",2,NA,4,1,NA,1,2,3,3,3,2,2,2,7,7,7
"55",2,NA,6,1,NA,1,1,5,5,3,1,1,1,7,7,7
"56",2,1,6,1,2,3,2,4,4,4,2,2,3,2,2,2
"57",2,1,3,1,2,3,2,4,4,3,3,2,2,4,7,1
"58",1,1,4,1,2,3,1,5,5,5,1,1,1,2,3,3
"59",2,NA,1,1,NA,4,3,4,3,1,4,4,2,7,7,2
"60",2,1,3,1,2,3,3,4,4,4,3,3,3,4,3,3
"61",2,1,4,1,2,3,2,4,4,4,2,2,3,3,3,2
"62",2,1,6,1,2,3,2,4,4,4,2,2,3,3,3,3
"63",2,NA,1,1,NA,1,3,2,1,1,3,3,3,7,7,7
"64",2,1,4,1,2,3,2,5,5,3,3,2,3,2,2,1
"65",2,1,4,1,2,3,2,4,4,4,2,2,2,2,3,3
"66",2,2,4,1,2,3,2,5,5,5,2,3,3,2,2,1
"67",2,1,7,1,2,3,2,5,5,5,1,1,1,7,7,2
"68",2,NA,2,1,NA,1,2,3,3,3,3,4,3,7,7,7
"69",2,NA,1,1,NA,1,2,1,1,1,3,3,2,7,7,7
"70",2,NA,1,1,NA,4,2,4,3,4,3,4,3,7,7,3
"71",2,NA,4,1,NA,1,2,5,5,5,2,2,2,7,7,7
"72",2,NA,5,1,NA,1,2,4,4,5,2,2,1,7,7,7
"73",2,NA,2,1,NA,4,3,5,4,1,3,3,3,7,7,5
"74",2,1,5,1,2,3,3,4,4,1,4,4,4,3,1,4
"75",2,1,4,1,2,3,2,4,4,4,3,3,3,4,3,4
"76",2,NA,2,1,NA,4,2,5,5,4,4,4,4,3,3,2
